StartDate,Start Date
sure_1,How sure are you that you would pay [QID131-ChoiceGroup-SelectedChoices]?
sensory_584_overall,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall liking
sensory_584_appear,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall appearance
sensory_584_color,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Color
sensory_584_aroma,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aroma
sensory_584_flavor,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall flavor
sensory_584_lemon,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Lemon Lime flavor
sensory_584_sweet,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sweetness
sensory_584_salt,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Saltiness
sensory_584_sour,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sourness/acidity
sensory_584_aftert,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aftertaste
refresh_584,How would you rate the refreshing sensation from this sports beverage?
wtp_2b_584,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage you just tasted. What is the most you are willing to pay for a 20-oz bottle of the sports beverage? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
sure_2b_584,How sure are you that you would pay [QID174-ChoiceGroup-SelectedChoices]?
sensory_793_overall,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall liking
sensory_793_appear,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall appearance
sensory_793_color,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Color
sensory_793_aroma,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aroma
sensory_793_flavor,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall flavor
sensory_793_lemon,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Lemon Lime flavor
sensory_793_sweet,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sweetness
sensory_793_salt,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Saltiness
sensory_793_sour,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sourness/acidity
sensory_793_aftert,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aftertaste
refresh_793,How would you rate the refreshing sensation from this sports beverage?
wtp_2b_793,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage you just tasted. What is the most you are willing to pay for a 20-oz bottle of the sports beverage? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
Sure_2b_793,How sure are you that you would pay [QID176-ChoiceGroup-SelectedChoices]?
wtp_3b_info_584,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



You are considering two 20-oz sports beverages you just tasted earlier:

	Product 584: contains 82 mg of magnesium (20% of the Daily Value)
	Product 793: contains no magnesium

For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 584 (with magnesium)"
wtp_3b_info_793,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



You are considering two 20-oz sports beverages you just tasted earlier:

	Product 584: contains 82 mg of magnesium (20% of the Daily Value)
	Product 793: contains no magnesium

For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 793 (no magnesium)"
sure_3b_info_584,How sure are you that you're willing to pay [QID180-ChoiceGroup-SelectedAnswers-1] for Product 584 (with magnesium) and [QID180-ChoiceGroup-SelectedAnswers-2] for Product 793 (no magnesium)? - Product 584 (with magnesium): [QID180-ChoiceGroup-SelectedAnswers-1]
sure_3b_info_793,How sure are you that you're willing to pay [QID180-ChoiceGroup-SelectedAnswers-1] for Product 584 (with magnesium) and [QID180-ChoiceGroup-SelectedAnswers-2] for Product 793 (no magnesium)? - Product 793 (no magnesium): [QID180-ChoiceGroup-SelectedAnswers-2]
after_info_3b_d1_new,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was new to me."""
after_info_3b_d1_useful,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was useful to me."""
mag_benefit_3b_d1_musle,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports muscle recovery after exercise"
mag_benefit_3b_d1_cramps,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Helps reduce muscle cramps"
mag_benefit_3b_d1_sugar,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports healthy blood sugar levels"
mag_benefit_3b_d1_bone,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports bone health"
mag_benefit_3b_d1_sleep,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Promotes relaxation and better sleep"
mag_intake_d1_magsupp,"In a month, how often do you take the following vitamin/mineral supplements? - Magnesium supplement"
mag_intake_d1_multivit,"In a month, how often do you take the following vitamin/mineral supplements? - Multi-vitamin & mineral supplement"
wtp_2a_info_584,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



You are considering two 20-oz sports beverages:

	Product 584: contains 82 mg of magnesium (20% of the Daily Value)
	Product 793: contains no magnesium



For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 584 (with magnesium)"
wtp_2a_info_793,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



You are considering two 20-oz sports beverages:

	Product 584: contains 82 mg of magnesium (20% of the Daily Value)
	Product 793: contains no magnesium



For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 793 (no magnesium)"
sure_2a_info_584,How sure are you that you're willing to pay [QID187-ChoiceGroup-SelectedAnswers-1] for Product 584 (with magnesium) and [QID187-ChoiceGroup-SelectedAnswers-2] for Product 793 (no magnesium)? - Product 584 (with magnesium): [QID187-ChoiceGroup-SelectedAnswers-1]
sure_2a_info_793,How sure are you that you're willing to pay [QID187-ChoiceGroup-SelectedAnswers-1] for Product 584 (with magnesium) and [QID187-ChoiceGroup-SelectedAnswers-2] for Product 793 (no magnesium)? - Product 793 (no magnesium): [QID187-ChoiceGroup-SelectedAnswers-2]
after_info_2a_d1_new,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was new to me."""
after_info_2a_d1_useful,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was useful to me."""
mag_benefit_2a_d1_muscle,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports muscle recovery after exercise"
mag_benefit_2a_d1_cramps,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Helps reduce muscle cramps"
mag_benefit_2a_d1_sugar,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports healthy blood sugar levels"
mag_benefit_2a_d1_bone,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports bone health"
mag_benefit_2a_d1_sleep,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 584 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Promotes relaxation and better sleep"
mag_intake_2a_d1_magsupp,"In a month, how often do you take the following vitamin/mineral supplements? - Magnesium supplement"
mag_intake_2a_d1_multivit,"In a month, how often do you take the following vitamin/mineral supplements? - Multi-vitamin & mineral supplement"
wtp_3a_584,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage Product 584 you just tasted. The product 584 contains 82 mg of magnesium per 20-oz bottle, which is equivalent to 20% of the Daily Value.

 

What is the most you are willing to pay for a 20-oz bottle of Product 584? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
sure_3a_584,How sure are you that you would pay [QID191-ChoiceGroup-SelectedChoices]?
wtp_3a_793,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage Product 793 you just tasted. The product 793 contains no magnesium.



What is the most you are willing to pay for a 20-oz bottle of Product 793? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
sure_3a_793,How sure are you that you would pay [QID193-ChoiceGroup-SelectedChoices]?
sensory_356_overall,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall liking
sensory_356_appear,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall appearance
sensory_356_color,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Color
sensory_356_aroma,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aroma
sensory_356_flavor,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall flavor
sensory_356_blueberry,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Blueberry flavor
sensory_356_sweet,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sweetness
sensory_356_salt,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Saltiness
sensory_356_sour,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sourness/acidity
sensory_356_aftert,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aftertaste
refresh_356,How would you rate the refreshing sensation from this sports beverage?
wtp_2b_356,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage you just tasted. What is the most you are willing to pay for a 20-oz bottle of the sports beverage? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
sure_2b_356,How sure are you that you would pay [QID209-ChoiceGroup-SelectedChoices]?
sensory_831_overall,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall liking
sensory_831_appear,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall appearance
sensory_831_color,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Color
sensory_831_aroma,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aroma
sensory_831_flavor,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Overall flavor
sensory_831_pineapple,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Pineapple flavor
sensory_831_sweet,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sweetness
sensory_831_slat,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Saltiness
sensory_831_sour,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Sourness/acidity
sensory_831_aftert,Please rate how much you liked or disliked the sports beverage you just tasted based on the following characteristics: - Aftertaste
refresh_831,How would you rate the refreshing sensation from this sports beverage?
wtp_2b_831,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage you just tasted. What is the most you are willing to pay for a 20-oz bottle of the sports beverage? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
sure_2b_831,How sure are you that you would pay [QID211-ChoiceGroup-SelectedChoices]?
wtp_3b_info_356,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



The products 356 and 831 you just tasted each contain 82 mg of magnesium per 20-oz bottle, which is equivalent to 20% of the Daily Value. The other sports beverages currently on the market contain no magnesium. 



For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 356 (with magnesium, blueberry flavor)"
wtp_3b_info_831,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



The products 356 and 831 you just tasted each contain 82 mg of magnesium per 20-oz bottle, which is equivalent to 20% of the Daily Value. The other sports beverages currently on the market contain no magnesium. 



For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 831 (with magnesium, pineapple flavor)"
sure_3b_info_356,"How sure are you that you're willing to pay [QID214-ChoiceGroup-SelectedAnswers-1] for Product 356 (with magnesium, blueberry flavor) and [QID214-ChoiceGroup-SelectedAnswers-2] for Product 831 (with magnesium, pineapple flavor)? - Product 356 (with magnesium, blueberry flavor): [QID214-ChoiceGroup-SelectedAnswers-1]"
sure_3b_info_831,"How sure are you that you're willing to pay [QID214-ChoiceGroup-SelectedAnswers-1] for Product 356 (with magnesium, blueberry flavor) and [QID214-ChoiceGroup-SelectedAnswers-2] for Product 831 (with magnesium, pineapple flavor)? - Product 831 (with magnesium, pineapple flavor): [QID214-ChoiceGroup-SelectedAnswers-2]"
after_info_3b_d2_new,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was new to me."""
after_info_3b_d2_useful,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was useful to me."""
mag_benefit_3b_d2_muscle,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports muscle recovery after exercise"
mag_benefit_3b_d2_cramps,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Helps reduce muscle cramps"
mag_benefit_3b_d2_sugar,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports healthy blood sugar levels"
mag_benefit_3b_d2_bone,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports bone health"
mag_benefit_3b_d2_sleep,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Promotes relaxation and better sleep"
mag_intake_3b_d2_magsupp,"In a month, how often do you take the following vitamin/mineral supplements? - Magnesium supplement"
mag_intake_3b_d2_multivit,"In a month, how often do you take the following vitamin/mineral supplements? - Multi-vitamin & mineral supplement"
wtp_2a_info_356,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



You are considering two 20-oz sports beverages:

	Product 356: contains 82 mg of magnesium (20% of the Daily Value), with blueberry flavor
	Product 831: contains 82 mg of magnesium (20% of the Daily Value), with pineapple flavor



The other sports beverages currently on the market contain no magnesium.



For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 356:"
wtp_2a_info_831,"Magnesium is an essential electrolyte that has several potential health benefits, including:

	supports muscle recovery after exercise
	helps reduce muscle cramps
	supports healthy blood sugar metabolism and may help lower the risk of type 2 diabetes
	supports bone health
	promotes relaxation and better sleep

The average daily magnesium intake in the U.S. is 352 mg for men and 202 mg for women. The recommended daily value is 420 mg. 



You are considering two 20-oz sports beverages:

	Product 356: contains 82 mg of magnesium (20% of the Daily Value), with blueberry flavor
	Product 831: contains 82 mg of magnesium (20% of the Daily Value), with pineapple flavor



The other sports beverages currently on the market contain no magnesium.



For each product, what is the most you are willing to pay for a 20-oz bottle? For reference, a typical 20-oz bottle of sports beverage costs about $2.50. - Product 831:"
sure_2a_info_356,How sure are you that you're willing to pay [QID219-ChoiceGroup-SelectedAnswers-1] for Product 356 and [QID219-ChoiceGroup-SelectedAnswers-2] for Product 831? - Product 356: [QID219-ChoiceGroup-SelectedAnswers-1]
sure_2a_info_831,How sure are you that you're willing to pay [QID219-ChoiceGroup-SelectedAnswers-1] for Product 356 and [QID219-ChoiceGroup-SelectedAnswers-2] for Product 831? - Product 831: [QID219-ChoiceGroup-SelectedAnswers-2]
after_info_2a_d2_new,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was new to me."""
after_info_2a_d2_useful,"To what extent do you agree with the following statements regarding the magnesium benefit information shown to you earlier? - ""The information was useful to me."""
mag_benefit_2a_d2_muscle,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports muscle recovery after exercise"
mag_benefit_2a_d2_cramps,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Helps reduce muscle cramps"
mag_benefit_2a_d2_sugar,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports healthy blood sugar levels"
mag_benefit_2a_d2_bone,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Supports bone health"
mag_benefit_2a_d2_sleep,"How important was each of the following health benefits of magnesium when you decided what you'd be willing to pay for Product 356 and/or 831 (with magnesium)? Use the sliders to indicate the importance of each, where 100 = Extremely important and 0= Not important at all. - Promotes relaxation and better sleep"
mag_intake_2a_d2_magsupp,"In a month, how often do you take the following vitamin/mineral supplements? - Magnesium supplement"
mag_intake_2a_d2_multivit,"In a month, how often do you take the following vitamin/mineral supplements? - Multi-vitamin & mineral supplement"
wtp_3a_356,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage Product 356 you just tasted. The product 356 contains 82 mg of magnesium per 20-oz bottle, which is equivalent to 20% of the Daily Value.

 

What is the most you are willing to pay for a 20-oz bottle of Product 356? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
sure_3a_356,How sure are you that you would pay [QID224-ChoiceGroup-SelectedChoices]?
wtp_3a_831,"You are in the grocery store looking in the cold beverage cooler, and you see the sports beverage Product 831 you just tasted. The product 831 contains 82 mg of magnesium per 20-oz bottle, which is equivalent to 20% of the Daily Value.

 

What is the most you are willing to pay for a 20-oz bottle of Product 831? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
sure_3a_831,How sure are you that you would pay [QID226-ChoiceGroup-SelectedChoices]?
gender,With which gender do you identify? - Selected Choice
gender_4_TEXT,With which gender do you identify? - Prefer to self-identify as - Text
age,What is your age in years?
race_2,What race/ethnicity do you identify? Select all that apply. - Selected Choice - African American or Black
race_7,What race/ethnicity do you identify? Select all that apply. - Selected Choice - American Indian or Alaska Native
race_8,What race/ethnicity do you identify? Select all that apply. - Selected Choice - Asian American or Asian
race_9,What race/ethnicity do you identify? Select all that apply. - Selected Choice - Hispanic or Latinx
race_10,What race/ethnicity do you identify? Select all that apply. - Selected Choice - Middle Eastern or North African
race_11,What race/ethnicity do you identify? Select all that apply. - Selected Choice - Pacific Islander or Native Hawaiian
race_12,What race/ethnicity do you identify? Select all that apply. - Selected Choice - White or Caucasian
race_13,What race/ethnicity do you identify? Select all that apply. - Selected Choice - I prefer to self-identify as
race_-999,What race/ethnicity do you identify? Select all that apply. - Selected Choice - Prefer not to answer
race_13_TEXT,What race/ethnicity do you identify? Select all that apply. - I prefer to self-identify as - Text
edu,What is your highest level of education you have completed?
income,What is your annual household income?
randomizer,randomizer
Day,Day
