StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,con_freq,con_situation _1,con_situation _2,con_situation _3,con_situation _4,con_situation _5,con_situation _6,con_situation _7,con_situation _7_TEXT,exercise,flavor_pref1_1,flavor_pref1_2,flavor_pref1_3,flavor_pref1_4,flavor_pref1_5,flavor_pref1_6,flavor_pref1_7,flavor_pref1_8,flavor_pref1_9,flavor_pref1_9_TEXT,flavor_pref2,flavor_pref2_9_TEXT,pref_flavor,pref_sweet,pref_sugar,pref_ingred,pref_health,label_habit_loyal,label_habit_read,label_habit_ingred,preknow_vitd,preknow_vitc,preknow_calc,preknow_iron,preknow_pota,preknow_5_magn,wtp_1,sure_1,sensory_584_overall,sensory_584_appear,sensory_584_color,sensory_584_aroma,sensory_584_flavor,sensory_584_lemon,sensory_584_sweet,sensory_584_salt,sensory_584_sour,sensory_584_aftert,refresh_584,wtp_2b_584,sure_2b_584,sensory_793_overall,sensory_793_appear,sensory_793_color,sensory_793_aroma,sensory_793_flavor,sensory_793_lemon,sensory_793_sweet,sensory_793_salt,sensory_793_sour,sensory_793_aftert,refresh_793,wtp_2b_793,Sure_2b_793,wtp_3b_info_584,wtp_3b_info_793,sure_3b_info_584,sure_3b_info_793,after_info_3b_d1_new,after_info_3b_d1_useful,mag_benefit_3b_d1_musle,mag_benefit_3b_d1_cramps,mag_benefit_3b_d1_sugar,mag_benefit_3b_d1_bone,mag_benefit_3b_d1_sleep,mag_intake_d1_magsupp,mag_intake_d1_multivit,wtp_2a_info_584,wtp_2a_info_793,sure_2a_info_584,sure_2a_info_793,after_info_2a_d1_new,after_info_2a_d1_useful,mag_benefit_2a_d1_muscle,mag_benefit_2a_d1_cramps,mag_benefit_2a_d1_sugar,mag_benefit_2a_d1_bone,mag_benefit_2a_d1_sleep,mag_intake_2a_d1_magsupp,mag_intake_2a_d1_multivit,wtp_3a_584,sure_3a_584,wtp_3a_793,sure_3a_793,sensory_356_overall,sensory_356_appear,sensory_356_color,sensory_356_aroma,sensory_356_flavor,sensory_356_blueberry,sensory_356_sweet,sensory_356_salt,sensory_356_sour,sensory_356_aftert,refresh_356,wtp_2b_356,sure_2b_356,sensory_831_overall,sensory_831_appear,sensory_831_color,sensory_831_aroma,sensory_831_flavor,sensory_831_pineapple,sensory_831_sweet,sensory_831_slat,sensory_831_sour,sensory_831_aftert,refresh_831,wtp_2b_831,sure_2b_831,wtp_3b_info_356,wtp_3b_info_831,sure_3b_info_356,sure_3b_info_831,after_info_3b_d2_new,after_info_3b_d2_useful,mag_benefit_3b_d2_muscle,mag_benefit_3b_d2_cramps,mag_benefit_3b_d2_sugar,mag_benefit_3b_d2_bone,mag_benefit_3b_d2_sleep,mag_intake_3b_d2_magsupp,mag_intake_3b_d2_multivit,wtp_2a_info_356,wtp_2a_info_831,sure_2a_info_356,sure_2a_info_831,after_info_2a_d2_new,after_info_2a_d2_useful,mag_benefit_2a_d2_muscle,mag_benefit_2a_d2_cramps,mag_benefit_2a_d2_sugar,mag_benefit_2a_d2_bone,mag_benefit_2a_d2_sleep,mag_intake_2a_d2_magsupp,mag_intake_2a_d2_multivit,wtp_3a_356,sure_3a_356,wtp_3a_831,sure_3a_831,gender,gender_4_TEXT,age,race_2,race_7,race_8,race_9,race_10,race_11,race_12,race_13,race_-999,race_13_TEXT,edu,income,randomizer,Day
3/18/2026 14:19,3/18/2026 14:29,0,150.135.165.54,100,579,1,3/18/2026 14:29,R_3eW4nn2fKen1svO,,,,,32.2503,-110.945,qr,EN,4,2,1,,1,1,,1,,,2,,,1,,,1,1,,,,6,,4,4,3,3,3,5,3,3,5,5,3,3,4,3,3,2,5,2,1,5,4,5,5,5,6,5,2,,,8,8,9,5,8,9,6,5,5,9,5,,,,,,,,,,,,,,,,4.75,0,1,1,5,5,100,100,49,84,100,0,0,2.75,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,20.5,,,1,1,,,,,,,2,3,4,1
3/18/2026 14:23,3/18/2026 14:34,0,150.135.165.94,100,647,1,3/18/2026 14:34,R_5ZZUqQ83shw2ajS,,,,,32.2503,-110.945,qr,EN,4,2,,,1,1,,,,,4,,1,,,,1,1,,1,Mango,2,,5,4,3,4,2,4,3,3,5,5,5,5,5,5,3,1,7,5,4,6,7,7,8,8,7,6,3,2.5,2,8,6,6,6,7,8,7,8,8,7,4,2.75,2,2.5,2.75,2,2,2,4,80,80,50,70,80,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,35,,,,,,,1,,,,5,5,1,1
3/18/2026 14:21,3/18/2026 14:35,0,150.135.165.55,100,831,1,3/18/2026 14:35,R_1PPbwYoMoHlO0db,,,,,32.2503,-110.945,qr,EN,4,4,,1,,,,1,,,2,,,1,,1,1,,,,,6,,5,3,3,4,4,2,2,2,2,4,4,4,4,2,3.75,1,7,8,9,8,7,7,6,5,5,9,4,,,8,8,9,8,9,8,8,8,8,9,4,,,,,,,,,,,,,,,,3.75,2.5,1,1,4,5,80,75,80,50,50,1,1,3.75,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,20.5,,1,,,,,,,,,3,2,3,1
3/18/2026 14:29,3/18/2026 14:37,0,198.60.145.59,100,501,1,3/18/2026 14:37,R_1CBMRiTKwLaB0Ts,,,,,32.2503,-110.945,qr,EN,4,1,1,1,1,1,,,,,2,,1,1,,,1,,,,,3,,5,4,2,1,1,2,1,1,1,1,1,1,1,1,2.5,2,7,5,4,9,6,6,7,5,6,8,4,,,7,7,7,8,8,6,7,5,6,4,4,,,,,,,,,,,,,,,,2.5,2,2,2,5,4,40,70,41,50,70,0,4,2.5,2,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20.5,,,,,,,1,,,,3,1,3,1
3/18/2026 14:30,3/18/2026 14:38,0,150.135.165.120,100,471,1,3/18/2026 14:38,R_3CdYnA00riNTVLG,,,,,32.2503,-110.945,qr,EN,4,1,,,,1,,,,,3,,,,,1,1,,,,,6,,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,5,5,4,5,4,6,7,6,7,8,2,3,3,8,7,8,7,7,5,7,7,6,7,3,3,2,2,3,3,2,3,3,44,67,66,16,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,23,,,1,,,,,,,,4,5,1,1
3/18/2026 14:34,3/18/2026 14:44,0,150.135.165.49,100,601,1,3/18/2026 14:44,R_7PC6TyfkyaQgLCm,,,,,32.2503,-110.945,qr,EN,4,1,,,1,,1,,,,3,,,,1,1,1,1,,,,4,,4,4,5,3,3,2,5,3,4,4,4,4,4,4,2.5,2,7,4,4,8,7,7,6,5,7,8,3,2.25,3,8,6,5,6,9,8,9,7,7,5,4,2.5,1,2.75,2.5,2,2,4,5,63,80,78,62,76,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,20.5,,,,,,,1,,,,3,6,2,1
3/18/2026 14:37,3/18/2026 14:45,0,150.135.165.59,100,453,1,3/18/2026 14:45,R_1d4gyVm4p6UeLPC,,,,,32.2503,-110.945,qr,EN,4,2,,1,1,,1,,,,2,1,1,1,1,1,1,1,,,,1,,3,3,2,2,4,2,5,5,4,4,4,4,4,4,2,2,5,5,5,4,7,6,7,7,6,6,3,2,2,4,4,3,7,7,6,6,8,6,5,2,1.5,2,2,2.25,2,2,2,5,89,83,90,85,92,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,27,,,,1,,,,,,,3,1,1,1
3/18/2026 14:36,3/18/2026 14:46,0,150.135.165.61,100,614,1,3/18/2026 14:46,R_6MY7scq2qoWMzMF,,,,,32.2503,-110.945,qr,EN,4,3,,,1,1,1,,,,4,1,,1,,1,,1,,,,3,,3,4,3,4,2,2,2,4,4,4,4,4,4,4,2.25,3,7,5,4,4,7,7,8,6,8,8,4,,,8,5,6,5,8,8,8,6,7,6,3,,,,,,,,,,,,,,,,2.25,1.75,2,1,3,4,85,86,86,84,89,4,4,2.5,2,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,23,,,,,,,1,,,,3,2,3,1
3/18/2026 14:38,3/18/2026 14:48,0,150.135.165.84,100,582,1,3/18/2026 14:48,R_7GgYYCf8r0EIu0V,,,,,32.2503,-110.945,qr,EN,4,2,,,1,,1,,,,3,,,,,1,,1,,1,"Mango, hibiscus ",9,,4,5,5,5,4,3,4,4,4,4,4,4,4,4,4,2,4,5,5,6,4,5,8,5,5,3,4,,,6,7,5,7,7,8,8,8,8,8,3,,,,,,,,,,,,,,,,4,2.5,1,2,4,4,100,100,100,100,100,4,4,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,45,,,,1,,,1,,,,5,2,4,1
3/18/2026 14:39,3/18/2026 14:50,0,150.135.165.11,100,678,1,3/18/2026 14:50,R_5q3pz0nJsDBFWlC,,,,,32.2503,-110.945,qr,EN,4,1,,,1,,,1,,,2,,1,,,1,,1,,,,2,,4,3,3,3,3,4,2,2,4,4,4,4,2,2,3.5,3,6,4,4,7,5,6,4,6,6,6,2,2.5,3,7,6,4,7,6,8,8,6,8,7,3,3,2,3,2.5,3,2,5,4,90,90,90,80,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20.5,,,1,,,,,,,,3,-999,2,1
3/18/2026 14:45,3/18/2026 14:53,0,150.135.165.21,100,514,1,3/18/2026 14:53,R_7OUvZ3436pIO3XH,,,,,32.2503,-110.945,qr,EN,4,5,,1,1,1,1,1,,,2,1,1,1,1,1,,,,,,2,,4,2,5,4,4,2,5,5,4,4,4,5,4,3,3,1,3,4,2,8,3,3,5,7,6,1,2,,,7,4,3,5,8,8,8,7,6,6,3,,,,,,,,,,,,,,,,2.5,1.5,2,1,4,5,61,92,77,84,100,4,4,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20.5,,,,,,,1,,,,3,6,3,1
3/18/2026 14:47,3/18/2026 14:56,0,150.135.165.86,100,581,1,3/18/2026 14:56,R_736eJY42URYUF6p,,,,,32.2503,-110.945,qr,EN,4,2,,1,,1,,,,,2,1,1,,,1,,,,,,2,,4,3,3,3,1,3,5,4,4,4,4,4,4,4,2.75,2,8,5,5,6,8,8,9,8,7,6,4,2.75,2,4,5,4,5,4,3,6,6,7,7,3,1.75,3,2.75,1.75,2,3,2,4,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,27,,,,,,,1,,,,4,-999,1,1
3/18/2026 14:46,3/18/2026 14:57,0,150.135.165.43,100,673,1,3/18/2026 14:57,R_3J9PhbKL7Hv3XvX,,,,,32.2503,-110.945,qr,EN,4,3,,,1,1,1,1,,,3,,1,1,,1,1,1,,,,7,,4,4,3,3,3,2,3,4,2,2,4,2,2,4,4,1,8,8,8,8,7,8,6,8,4,7,5,,,9,5,5,9,9,9,8,8,9,6,5,,,,,,,,,,,,,,,,3,2.5,1,1,3,4,71,50,71,29,90,0,1,3.5,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20.5,,,,,,,1,,,,3,-999,3,1
3/18/2026 14:52,3/18/2026 15:00,0,150.135.165.126,100,510,1,3/18/2026 15:00,R_615OATZYekfZa0V,,,,,32.2503,-110.945,qr,EN,4,3,1,1,1,1,1,1,,,3,1,,1,1,1,,,,1,Cucumber ,9,,4,3,5,5,5,3,2,2,4,4,4,2,4,3,2.25,2,8,8,8,9,9,9,9,9,8,9,5,,,9,5,5,7,9,9,8,9,9,9,5,,,,,,,,,,,,,,,,2.5,2,1,3,3,5,83,93,77,47,100,4,4,2.5,1,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,23,1,,,1,,,1,,,,4,5,4,1
3/18/2026 14:52,3/18/2026 15:01,0,83.171.251.28,100,530,1,3/18/2026 15:01,R_5f3fJwvPtTuzuSZ,,,,,34.0544,-118.244,qr,EN,4,2,,,1,1,1,,,,4,,1,1,,,1,,,,,3,,5,3,5,4,3,4,4,3,4,4,4,4,3,3,2.5,2,7,9,7,5,7,7,6,5,5,4,3,2.5,2,8,7,6,6,8,8,6,5,5,7,3,2.75,2,2.5,2.5,2,2,3,3,81,32,59,17,18,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,23,,,,,,,1,,,,3,1,2,1
3/18/2026 14:54,3/18/2026 15:05,0,172.226.3.61,100,653,1,3/18/2026 15:05,R_3Cdd7lf5XgbCA54,,,,,33.4532,-112.0748,qr,EN,4,2,,,1,1,1,,,,3,1,1,,,,,,,,,2,,4,4,5,5,5,4,5,5,5,5,3,5,5,5,2.5,2,7,7,8,8,7,7,8,8,8,8,4,3,2,5,4,4,6,5,5,8,8,8,7,2,2.25,1,3,2.25,1,1,2,4,100,100,65,64,100,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,23,,,,,,,1,,,,3,6,1,1
3/18/2026 14:57,3/18/2026 15:08,0,150.135.165.20,100,657,1,3/18/2026 15:08,R_6uE76mG3Qzs80tu,,,,,32.2503,-110.945,qr,EN,4,2,1,1,,1,1,,,,3,,,,,1,1,1,,,,6,,5,5,5,4,4,5,4,3,4,4,4,4,4,4,3,2,7,7,5,8,7,9,6,8,8,8,3,,,7,7,6,5,7,7,8,8,8,8,3,,,,,,,,,,,,,,,,3,2.5,2,2,3,4,80,85,65,85,50,0,0,3,2,2.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,23,,,,1,,,,,,,2,1,3,1
3/18/2026 14:59,3/18/2026 15:10,0,150.135.165.9,100,689,1,3/18/2026 15:10,R_1cDCA3yDJnuBVBv,,,,,32.2503,-110.945,qr,EN,4,3,,,,,,1,1,Just because they taste good like Powerade ,1,1,,,,,,,,1,Whatever the blue Powerade is called,9,,5,4,3,3,2,3,4,4,3,4,4,4,4,3,2.75,1,7,7,8,5,6,5,6,6,6,5,2,,,6,3,4,5,6,6,6,5,6,7,2,,,,,,,,,,,,,,,,2.75,2.5,1,1,4,4,81,68,53,90,16,0,0,2.75,1,2.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,20.5,,,,1,,,,,,,3,2,4,1
3/18/2026 15:01,3/18/2026 15:10,0,150.135.165.6,100,554,1,3/18/2026 15:10,R_3nYZk5sSyn9yfmJ,,,,,32.2503,-110.945,qr,EN,4,1,,,,1,1,,,,2,1,1,,,,,1,,,,7,,4,4,5,4,4,4,5,4,4,4,4,4,4,4,2,2,4,7,6,8,4,5,4,4,4,4,2,1.25,1,8,7,7,8,8,8,8,8,6,8,3,2.5,2,2.5,2.75,2,3,2,4,50,90,100,70,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,18.5,,,,1,,,,,,,3,4,2,1
3/18/2026 15:06,3/18/2026 15:12,0,150.135.165.21,100,391,1,3/18/2026 15:12,R_7dFDrS82owMUd0t,,,,,32.2503,-110.945,qr,EN,4,3,,,,1,,1,,,4,1,1,1,,,,1,,,,2,,5,4,3,4,2,4,2,4,4,4,4,4,4,4,3.5,1,6,4,3,7,6,7,5,7,5,6,2,2.75,2,7,7,7,6,8,7,7,7,8,7,3,3,2,2.75,2.5,2,2,2,4,82,62,50,79,60,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,20.5,,,,,,,1,,,,4,1,1,1
3/18/2026 15:01,3/18/2026 15:14,0,150.135.165.16,100,725,1,3/18/2026 15:14,R_7GIarnNsKKurlZI,,,,,32.2503,-110.945,qr,EN,4,2,,,,1,1,,,,3,,,1,1,1,,,,1,Mango,9,,5,5,4,3,2,4,5,3,4,4,2,4,4,4,3.25,1,7,5,5,8,6,6,5,7,5,5,2,,,7,4,3,5,7,7,7,5,5,4,3,,,,,,,,,,,,,,,,3.75,3.25,2,2,3,4,51,78,84,42,65,1,3,3.25,2,3.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,18.5,,1,,1,,,,,,,3,3,3,1
